Fri Feb 07 2020 22:17:05 GMT-0500 (Eastern Standard Time) - Run Time: 3081ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1500-1900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          54          55        191
          54          56          8
          54          57         32
          54          58        117
          54          59         81
          54          60        143
          54          61         71
          54          62        140
          54          63        138
          54          64        105
          54          65        178
          54          66        243
          54          67        128
          54          68         12
          54          69        137
          54          71         27
          54          73          6
          54          74          7
          54          75         16
          54          76         51
          54          77         54
          54          78         72
          54          79         77
          54          82         41
          54          84         18
          54          89        246
          54          90        116
          55           1         47
          55           3         30
          55           6         14
          55          14         31
          55          15         10
          55          16         88
          55          17         76
          55          18         39
          55          19         25
          55          20         48
          55          21        147
          55          22         72
          55          24         96
          55          25        368
          55          26         51
          55          30         66
          55          34        331
          55          35         83
          55          36        254
          55          37        243
          55          38        167
          55          39         34
          55          40         45
          55          41         24
          55          42         72
          55          43        152
          55          44         70
          55          45        115
          55          46         96
          55          47         61
          55          48         29
          55          49          5
          55          50        227
          55          51         52
          55          52        137
          55          53         36
          55          54         67
          55          55        161
          55          56         39
          55          57        239
          55          59        121
          55          60        157
          55          61         66
          55          62        117
          55          63         68
          55          64        342
          55          65        393
          55          66        458
          55          67        216
          55          68         25
          55          69        153
          55          70        288
          55          71        150
          55          72        140
          55          73         55
          55          75         54
          55          76         18
          55          77        226
          55          78        121
          55          79        195
          55          80         66
          55          81         13
          55          82         46
          55          84        162
          55          89        217
          55          90        249
          56           1         15
          56          15         43
          56          17         28
          56          18         36
          56          21         42
          56          22         51
          56          23         37
          56          24         17
          56          25        168
          56          26         49
          56          30         31
          56          34        139
          56          36         63
          56          38         72
          56          39         29
          56          40         82
          56          41         85
          56          42         41
          56          43         75
          56          44         17
          56          45         80
          56          46         69
          56          47         10
          56          48         46
          56          50         68
          56          52         66
          56          54         30
          56          55         88
          56          57        117
          56          59         77
          56          60         81
          56          61         54
          56          62        192
          56          63         89
          56          64        141
          56          65        169
          56          66        134
          56          67         55
          56          68         25
          56          69         61
          56          70         83
          56          71         14
          56          72         42
          56          73          5
          56          74         49
          56          75          6
          56          77        123
          56          78         23
