Fri Feb 07 2020 21:25:37 GMT-0500 (Eastern Standard Time) - Run Time: 3054ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          42          72         19
          42          73         85
          42          75         24
          42          76        146
          42          77         45
          42          78         40
          42          79        100
          42          81         11
          42          84         39
          42          86         16
          42          89         12
          42          90        169
          43           3         37
          43          11         29
          43          14         20
          43          15         54
          43          16         13
          43          17         26
          43          18         70
          43          19         13
          43          20         45
          43          21        425
          43          22        127
          43          25         92
          43          26         43
          43          30         22
          43          31         12
          43          34         13
          43          35         58
          43          36        128
          43          37         82
          43          38        232
          43          39         48
          43          40         97
          43          41        322
          43          42        251
          43          43        498
          43          44         81
          43          45        440
          43          46        201
          43          47         76
          43          48         82
          43          49        181
          43          50        106
          43          51        106
          43          52        161
          43          53         36
          43          54         57
          43          55        261
          43          56         78
          43          57         67
          43          59         65
          43          60        100
          43          61         41
          43          62         50
          43          63         78
          43          64         58
          43          65        110
          43          66        140
          43          67         45
          43          68          6
          43          69        160
          43          70        100
          43          71        278
          43          72        231
          43          73         37
          43          74         23
          43          75         21
          43          76         14
          43          77        150
          43          78         61
          43          79        119
          43          82         34
          43          84         58
          43          89        146
          43          90        163
          44           6         61
          44          10        121
          44          15         23
          44          16         12
          44          17         54
          44          20         36
          44          21        178
          44          25         41
          44          26         35
          44          34         36
          44          35         16
          44          36         19
          44          37         15
          44          38        132
          44          40         29
          44          41         30
          44          43         48
          44          44         98
          44          45        247
          44          46        217
          44          47         59
          44          48         73
          44          50         61
          44          51         33
          44          52         81
          44          53         32
          44          54         47
          44          55        140
          44          56         34
          44          57         80
          44          64         65
          44          65         65
          44          66         33
          44          67         28
          44          68        115
          44          69        285
          44          70         85
          44          71        272
          44          72        107
          44          73         32
          44          77         60
          44          79         18
          44          90          4
          45          15         49
          45          17         59
          45          18         46
          45          19         24
          45          20         29
          45          21        496
          45          22        142
          45          24        108
          45          25        186
          45          26         85
          45          30         32
          45          33         15
          45          34         68
          45          35         78
          45          36        273
          45          37         67
          45          38        192
          45          39         83
